customer_id,merchant_id,loan_id,application_date,currency,transaction_fee,merchant_status,store_id,term,risk_score,disbursed_date,loanamount,paid_date,city,state,channel,is_disbursed,first_vintage_pay,full_name,age,gender,tel_number,email,merchant_name,merchant_size,store_name,fraud_score,dln,recurrence_1,recurrence_2
61579726682i3106gxx16x5g,522186628800710,loan_8444478,2021-10-01 18:31:00,MXN,0.04,7 Live,nan,12.0,0.2,2021-10-01 00:00:00,4743.54,,Nezahualcóyotl,Estado de México,Social Media,True,2021-10-01 00:00:00,Angel Narvais,61,H,3351318488,email_2607@gmail.com,merchant_name_2,medium,,0.3,1,1,False
614020131yh5g4xyi73154ig,522186628800710,loan_0617008,2021-10-01 22:46:00,MXN,0.04,7 Live,nan,12.0,0.8,2021-10-01 00:00:00,3722.27,2022-03-31 00:00:00,Othón P. Blanco,Quintana Roo,Social Media,True,2021-10-01 00:00:00,Emanuel Lomeli-Contreras,57,H,3313691637,email_567@gmail.com,merchant_name_2,medium,,0.9,1,1,False
6155x1412z1x1g082834ghz9,716945251115144,loan_3959620,2021-10-01 12:02:00,MXN,0.04,7 Live,nan,8.0,0.8,2021-10-01 00:00:00,1109.02,2022-01-31 00:00:00,Acapulco de Juárez,Guerrero,Social Media,True,2021-10-01 00:00:00,Xochitlmaria Solorzano,31,M,3333753900,email_821@gmail.com,merchant_name_10,small,,0.5,1,1,False
5x2088xh13yh2195ygixx279,522186628800710,loan_4292068,2021-10-01 15:18:00,MXN,0.04,7 Live,nan,12.0,0.6,2021-10-01 00:00:00,5072.77,,San Andrés Cholula,Puebla,Social Media,True,2021-10-01 00:00:00,Dulce Ruiz,44,M,3315874580,email_1424@gmail.com,merchant_name_2,medium,,0.5,1,1,False
6157ygy67h8gzh650775091g,726183834821532,loan_4448912,2021-10-01 22:07:00,MXN,0.043,7 Live,nan,4.0,0.7,2021-10-01 00:00:00,675.25,2021-11-30 00:00:00,Nogales,Sonora,Social Media,True,2021-10-01 00:00:00,Jose Morales,23,H,3336461467,email_1589@gmail.com,merchant_name_82,small,,0.9,1,1,False
61576054h2x2h8zi1817i690,615680819077994,loan_9572502,2021-10-01 14:27:00,MXN,0.0,7 Live,2.2402484458551788e+18,6.0,0.8,2021-10-01 00:00:00,2663.77,,Chalco,Estado de México,Organic,True,2021-10-01 00:00:00,Magali Soto,65,H,3366239172,email_542@gmail.com,merchant_name_26,small,store_name_27,1.0,1,1,False
6155yhx019h0551h70336159,726183834821532,loan_8385858,2021-10-01 19:02:00,MXN,0.043,7 Live,nan,4.0,0.8,2021-10-01 00:00:00,540.1999999999999,2021-12-20 00:00:00,Orizaba,Veracruz,Social Media,True,2021-10-01 00:00:00,Ana Garcia III,46,M,3335949828,email_2699@gmail.com,merchant_name_82,small,,1.0,1,1,False
61574y5xzyy4436hg200gy05,682763787446176,loan_1996780,2021-10-01 12:58:00,MXN,0.045,7 Live,nan,4.0,0.6,2021-10-01 00:00:00,295.58,,Querétaro,Queretaro de Arteaga,Social Media,True,2021-10-01 00:00:00,Brittany Duran,33,M,3332182881,email_1481@gmail.com,merchant_name_292,medium,,0.1,1,1,False
5gy66314655gg65i5hh37gyy,721959885483616,loan_5369066,2021-10-01 06:30:00,MXN,0.05,7 Live,nan,6.0,0.6,2021-10-01 00:00:00,2226.5,,Papantla,Veracruz,Social Media,True,2021-10-01 00:00:00,Jose Nuncio,38,H,3334216774,email_663@gmail.com,merchant_name_425,small,,0.8,1,1,False
615917hz965h9939777045i3,681957709325476,loan_6177226,2021-10-02 21:39:00,MXN,0.045,7 Live,nan,6.0,0.8,2021-10-02 00:00:00,1093.32,2021-12-01 00:00:00,Ixtapaluca,Estado de México,Social Media,True,2021-10-02 00:00:00,Omar Moreno,26,H,3344165016,email_1210@gmail.com,merchant_name_124,medium,,0.4,1,1,False
61587295gh8827yg3617h11i,645736429790794,loan_7320810,2021-10-02 09:54:00,MXN,0.045,7 Live,nan,4.0,0.8,2021-10-02 00:00:00,523.41,2021-11-17 00:00:00,Tlaxcala,Tlaxcala,Social Media,True,2021-10-02 00:00:00,Maritsa Lupercio,29,M,3304434714,email_2493@gmail.com,merchant_name_61,small,,0.6,1,1,False
615z720638h50hi37851gxx5,505218538414430,loan_9945988,2021-10-03 22:16:00,MXN,0.045,7 Live,nan,2.0,0.7,2021-10-03 00:00:00,1040.9070000000002,2022-04-11 00:00:00,Cacahoatán,Chiapas,Social Media,True,2021-10-03 00:00:00,Victor Terrazas,40,H,3320431731,email_487@gmail.com,merchant_name_103,extra-large,,0.4,1,1,False
6159i70h9xx0y432gix66y24,522186628800710,loan_6363790,2021-10-03 13:43:00,MXN,0.04,7 Live,nan,12.0,0.7,2021-10-03 00:00:00,4342.77,2022-03-31 00:00:00,Tonalá,Jalisco,Social Media,True,2021-10-03 00:00:00,Jesus Martinez,46,H,3362352715,email_165@gmail.com,merchant_name_2,medium,,0.1,1,1,False
60ig32z5z00y5i57zx5z47y3,522186628800710,loan_3944996,2021-10-03 19:16:00,MXN,0.04,7 Live,nan,8.0,0.7,2021-10-03 00:00:00,4546.44,,Guadalupe,Nuevo León,Social Media,True,2021-10-03 00:00:00,Gabriel Baca,54,H,3393213022,email_1761@gmail.com,merchant_name_2,medium,,0.3,1,1,False
615z34zi23hx062038xh9g78,610173135888568,loan_3287596,2021-10-03 17:54:00,MXN,0.055,7 Live,nan,6.0,0.7,2021-10-03 00:00:00,1648.34,2022-01-02 00:00:00,Ecatepec de Morelos,Estado de México,Social Media,True,2021-10-03 00:00:00,Nora Garcia,20,M,3371932134,email_2227@gmail.com,merchant_name_169,extra-large,,0.9,1,1,False
615z3yx3564g0hg02i5x9297,726183834821532,loan_0176514,2021-10-03 18:29:00,MXN,0.043,7 Live,nan,4.0,0.8,2021-10-03 00:00:00,583.27,2021-10-28 00:00:00,Uruapan,Michoacán de Ocampo,Social Media,True,2021-10-03 00:00:00,Cindy Kanakoqui,46,M,3396399589,email_2216@gmail.com,merchant_name_82,small,,0.4,1,1,False
615gg2127316z790x695izx5,522186628800710,loan_4628764,2021-10-04 21:01:00,MXN,0.04,7 Live,nan,12.0,0.6,2021-10-04 00:00:00,8548.3,,Benito Juárez,Quintana Roo,Social Media,True,2021-10-04 00:00:00,Sarah Tello,48,M,3318748435,email_868@gmail.com,merchant_name_2,medium,,0.7,1,1,False
615g577hzhhx3x117x0x47i4,522186628800710,loan_1927908,2021-10-04 14:39:00,MXN,0.04,7 Live,nan,8.0,0.7,2021-10-04 00:00:00,2663.77,2022-01-20 00:00:00,Naucalpan de Juárez,Estado de México,Social Media,True,2021-10-04 00:00:00,Cindy Estrada,21,M,3332529249,email_1159@gmail.com,merchant_name_2,medium,,0.9,1,1,False
615h12yigy18x161yx858xh4,269511907614720,loan_2786624,2021-10-05 22:06:00,MXN,0.028,8.1 Cancelled by Kueski,nan,6.0,0.8,2021-10-05 00:00:00,3356.54,2021-12-22 00:00:00,Celaya,Guanajuato,Social Media,True,2021-10-05 00:00:00,Carmen Chavez,25,M,3334377566,email_990@gmail.com,merchant_name_513,medium,,0.1,1,1,False
614i3hh1x35iy649037014h0,522186628800710,loan_1539598,2021-10-05 00:04:00,MXN,0.04,7 Live,nan,8.0,0.5,2021-10-05 00:00:00,5839.27,,Nogales,Sonora,Social Media,True,2021-10-05 00:00:00,Danielle De La Torre,36,M,3393473528,email_2505@gmail.com,merchant_name_2,medium,,0.6,1,1,False
615h234gi191xhg08hxg2385,522186628800710,loan_2482626,2021-10-05 23:25:00,MXN,0.04,7 Live,nan,8.0,0.4,2021-10-05 00:00:00,1530.08,,Iztacalco,Ciudad de México,Social Media,True,2021-10-05 00:00:00,Jose Keller,48,H,3369311855,email_1148@gmail.com,merchant_name_2,medium,,0.4,1,1,False
615z62y12x1zh22z03zyy04x,659541863967870,loan_9970040,2021-10-05 00:32:00,MXN,0.045,7 Live,nan,6.0,0.6,2021-10-05 00:00:00,990.61,2021-12-30 00:00:00,San Andrés Tuxtla,Veracruz,Social Media,True,2021-10-05 00:00:00,Kayleigh Anchando,20,M,3309457674,email_1660@gmail.com,merchant_name_128,extra-large,,0.3,1,1,False
615yh88yg542xyizxi58y665,716945251115144,loan_1165928,2021-10-05 17:58:00,MXN,0.04,7 Live,nan,8.0,0.8,2021-10-05 00:00:00,1824.27,2022-01-31 00:00:00,Torreón,Coahuila de Zaragoza,Social Media,True,2021-10-05 00:00:00,Mario Diaz,19,H,3307391494,email_2995@gmail.com,merchant_name_10,small,,1.0,1,1,False
615yg5x0941h92y84839g4i0,675432932581792,loan_0362180,2021-10-05 15:30:00,MXN,0.055,7 Live,nan,4.0,0.8,2021-10-05 00:00:00,493.12,,Miguel Hidalgo,Ciudad de México,Social Media,True,2021-10-05 00:00:00,Oscar Ortiz,55,H,3398460153,email_2252@gmail.com,merchant_name_17,medium,,0.3,1,1,False
615yx8y7z8hh7xiy9h799xh8,716945251115144,loan_8317084,2021-10-05 19:07:00,MXN,0.04,7 Live,nan,6.0,0.9,2021-10-05 00:00:00,1633.8859999999995,2021-12-22 00:00:00,Guaymas,Sonora,Social Media,True,2021-10-05 00:00:00,Maritza Reyna,19,M,3360699587,email_1966@gmail.com,merchant_name_10,small,,0.9,1,1,False
615gi77h846xxg69x4yh5yhx,656723023242486,loan_0205820,2021-10-05 01:58:00,MXN,0.04,7 Live,nan,12.0,0.8,2021-10-05 00:00:00,2919.27,2022-01-15 00:00:00,Cuauhtémoc,Chihuahua,Social Media,True,2021-10-05 00:00:00,Devin Gradilla Reyes,27,H,3345814932,email_1885@gmail.com,merchant_name_91,extra-large,,0.4,1,1,False
61397y7i7z3563678g8z1h2i,311062671139062,loan_5772846,2021-10-05 12:54:00,MXN,0.04,7 Live,nan,4.0,0.8,2021-10-05 00:00:00,657.0,2021-11-30 00:00:00,Azcapotzalco,Ciudad de México,Social Media,True,2021-10-05 00:00:00,Ricardo Aragon,40,H,3302156790,email_435@gmail.com,merchant_name_93,small,,0.1,1,1,False
615y6392h8884zz075z33561,696504755171316,loan_4439192,2021-10-05 15:04:00,MXN,0.04,7 Live,nan,1.0,0.7,2021-10-05 00:00:00,312.11,2021-10-11 00:00:00,Comalcalco,Tabasco,Social Media,True,2021-10-05 00:00:00,Chantel Rodriguez,46,M,3338879861,email_1794@gmail.com,merchant_name_156,extra-large,,0.4,1,1,False
615x63ix418y203y0108h950,522186628800710,loan_5204594,2021-10-06 22:05:00,MXN,0.04,7 Live,nan,8.0,0.7,2021-10-06 00:00:00,2700.27,2022-01-30 00:00:00,Juárez,Chihuahua,Social Media,True,2021-10-06 00:00:00,Francine Ocampo Ramirez,45,M,3332600826,email_676@gmail.com,merchant_name_2,medium,,0.2,1,1,False
