customer_id,merchant_id,loan_id,application_date,currency,transaction_fee,merchant_status,store_id,term,risk_score,disbursed_date,loanamount,paid_date,city,state,channel,is_disbursed,first_vintage_pay,full_name,age,gender,tel_number,email,merchant_name,merchant_size,store_name,fraud_score
6175zihg257z157252g718hy,718128581714868,loan_6481502,24/10/2021 14:11,MXN,0.055,8.1 Cancelled by Kueski,NA,6,0.7,24/10/2021,1057.77,NA,Xochimilco,Ciudad de México,Social Media,TRUE,24/10/2021,Tonia Dimas,64,M,3384457317,email_2174@gmail.com,merchant_name_1,large,NA,0.9
614z5015y6x2214855489271,522186628800710,loan_3749096,10/11/2021 13:37,MXN,0.04,7 Live,NA,8,0.1,10/11/2021,8737.37,03/03/2022,General Escobedo,Nuevo León,Social Media,TRUE,11/10/2021,Yisa Vigil,56,M,3351387262,email_1927@gmail.com,merchant_name_2,medium,NA,0.1
61943hyxi6z2yhy1hz0099x7,594329253193244,loan_1900432,16/11/2021 17:25,MXN,NA,7 Live,NA,6,0.6,NA,960.68,NA,Chiautempan,Tlaxcala,Social Media,FALSE,16/11/2021,Marly Lucero,25,M,3383127058,email_2498@gmail.com,merchant_name_3,medium,NA,0.1
6196iyxz30yyx4gy6y88i89x,763169811475744,loan_7910522,20/11/2021 10:39,MXN,0,7 Live,NA,4,0.8,20/11/2021,2841.78,14/01/2022,Escuinapa,Sinaloa,Social Media,TRUE,20/11/2021,Briana Atencio,38,M,3328011786,email_2927@gmail.com,merchant_name_4,small,NA,0.7
61z037i5iy38gyixxhi91gh0,522186628800710,loan_8124862,26/11/2021 14:08,MXN,0.04,7 Live,NA,8,0.1,26/11/2021,3795.53,NA,Chicoloapan,Estado de México,Social Media,TRUE,26/11/2021,Luis Mercure,23,H,3353825246,email_2760@gmail.com,merchant_name_2,medium,NA,0.7
619710z3xy5867iz5g2y3iyx,732803872598314,loan_6898886,29/11/2021 16:05,MXN,0.055,8.1 Cancelled by Kueski,NA,6,0.8,29/11/2021,1470.95,02/03/2022,Cuautitlán Izcalli,Estado de México,Social Media,TRUE,18/11/2021,Kaylee Gomez,63,M,3336091636,email_1819@gmail.com,merchant_name_5,large,NA,0.2
618h4505052x48zg101z930z,522186628800710,loan_0208016,02/12/2021 11:50,MXN,0.04,7 Live,NA,6,0.5,02/12/2021,6569.27,05/01/2022,Oaxaca de Juárez,Oaxaca,Social Media,TRUE,11/11/2021,Andrea Balderas,35,M,3308960080,email_2513@gmail.com,merchant_name_2,medium,NA,0.6
61934h94276hiix5ii9xizy4,310238037418214,loan_8320494,02/12/2021 14:09,MXN,0.0288,7 Live,NA,6,0.6,02/12/2021,2717.79,NA,Culiacán,Sinaloa,Social Media,TRUE,16/11/2021,Nina Chadwick,46,M,3316005424,email_1168@gmail.com,merchant_name_6,medium,NA,0.7
6195278i01i775zy84z70385,760929616932146,loan_9158886,28/12/2021 23:27,MXN,0,7 Live,NA,6,0.9,28/12/2021,1131.50,27/02/2022,Iztapalapa,Ciudad de México,Social Media,TRUE,30/11/2021,Marlene Franco-Aguilar,42,M,3371046397,email_1211@gmail.com,merchant_name_7,extra-large,NA,0.9
61x5g18626341iy5zx73ziyg,818170994893804,loan_2066444,17/01/2022 12:50,MXN,0.055,7 Live,NA,6,0.6,17/01/2022,874.54,NA,Chihuahua,Chihuahua,Social Media,TRUE,17/01/2022,Jessica Estrada,38,M,3364685448,email_2104@gmail.com,merchant_name_8,small,NA,0.8
619547143i7935x3i36z4z93,753870620074300,loan_9335888,17/01/2022 19:12,MXN,0.055,7 Live,NA,6,0.7,17/01/2022,2080.75,18/04/2022,San Luis Potosí,San Luis Potosi,Social Media,TRUE,17/11/2021,Angelica Martinez,56,M,3350975015,email_890@gmail.com,merchant_name_9,extra-large,NA,0.9
